TIMES commodity,Description,Unit,Sector,Type,Cluster,PyPSA Energy Carrier,Upstream commodity,Upstream process,Comment,Aggregation Level 1,Aggregation Level 2,sankey_overview,custom,Notes
RSDAHT,Residential Ambient Heat,PJ,RSD,NRG,Ambient heat,Ambient heat,,MINRSDAHT,Ambient heat for residential heat pumps; was unmapped → Sankey COP looked ~7–10×,Ambient heat,Ambient heat,Heat,Ambient heat,
COMAHT,Commercial Ambient Heat,PJ,COM,NRG,Ambient heat,Ambient heat,,MINCOMAHT,Ambient heat for commercial HPs (topology exists; unused in 2030 reference scenario),Ambient heat,Ambient heat,Heat,Ambient heat,
INDHTH,High temperature heat for industry,PJ,IND,NRG,industry high temperature heat,industry high temperature heat,,,Input to INDHTH00 fuel tech; was unmapped → dropped from energy Sankey,industry high temperature heat,industry high temperature heat,Heat,Heat (context),
RENMINGEO,Mined geothermal,PJ,SUP,NRG,Geothermal,Geothermal,,,Input to COMGEO00; was unmapped,Geothermal,Geothermal,Heat,Geothermal,
RSDPEL,Wood Pellets for Residential sector,PJ,RSD,,Wood Pellets for Residential sector,Wood Pellets for Residential sector,,,Was unmapped → biomass heaters lost pellet FIn on energy Sankey,Wood Pellets for Residential sector,Wood Pellets for Residential sector,Biomass & biofuels,Biomass & biofuels (context),
COMPEL,Wood Pellets for Commercial sector,PJ,COM,,Wood Pellets for Commercial sector,Wood Pellets for Commercial sector,,,Was unmapped → biomass heaters lost pellet FIn on energy Sankey,Wood Pellets for Commercial sector,Wood Pellets for Commercial sector,Biomass & biofuels,Biomass & biofuels (context),
BATELCIN,EV battery charge (from chargers into TRA_STG),PJ,TRA,NRG,EV battery charge,Electricity,,TCHARG*,Was unmapped → dropped from energy Sankey; TRA_STG collapsed into Transport (other); mixed with INDELC under Electricity (context),EV battery charge,Electricity,Electricity,EV battery charge,
CLIGBA,Commercial Ligthing Existing Bureaux: Administration Existing,PJ,COM,NRG,Commercial lighting,Commercial lighting,,,Was unmapped → lighting FOut dropped from energy Sankey; appliances→Buildings looked incomplete,Commercial lighting,Commercial lighting,Other,Commercial lighting,
CLIGBP,"Commercial Ligthing Existing Bureaux: transport et communication, banques etc Existing",PJ,COM,NRG,Commercial lighting,Commercial lighting,,,Was unmapped → lighting FOut dropped from energy Sankey; appliances→Buildings looked incomplete,Commercial lighting,Commercial lighting,Other,Commercial lighting,
CLIGCO,Commercial Lighting Existing Commerce Existing,PJ,COM,NRG,Commercial lighting,Commercial lighting,,,Was unmapped → lighting FOut dropped from energy Sankey; appliances→Buildings looked incomplete,Commercial lighting,Commercial lighting,Other,Commercial lighting,
CLIGCS,Commercial Ligthing Existing Culture sports et divers Existing,PJ,COM,NRG,Commercial lighting,Commercial lighting,,,Was unmapped → lighting FOut dropped from energy Sankey; appliances→Buildings looked incomplete,Commercial lighting,Commercial lighting,Other,Commercial lighting,
CLIGDATA,Commercial Ligthing Existing Data Center Existing,PJ,COM,NRG,Commercial lighting,Commercial lighting,,,Was unmapped → lighting FOut dropped from energy Sankey; appliances→Buildings looked incomplete,Commercial lighting,Commercial lighting,Other,Commercial lighting,
