Technology (Process),Sector,Set,Description,Activity unit,Capacity unit,Type,Primary commodity group,Time slice level,Vintage,Aggregation Level 2,sankey_overview,custom
CHBPELC100,COM,.PRE.,Com.Space Heat.BP.ELC.00.Resistance.,PJ,GW,PRE,CHBP,ANNUAL,"0,00",Commercial Biomass boiler,Buildings,Commercial Biomass boiler
CHBPELC200,COM,.PRE.,Com.Space Heat.BP.ELC.00.Heat Pump.,PJ,GW,PRE,CHBP,ANNUAL,"0,00",Commercial Heat pump,Buildings,Commercial Heat pump
CHBPGEO100,COM,.PRE.,Com.Space Heat.BP.GEO.00.Furnace.,PJ,GW,PRE,CHBP,ANNUAL,"0,00",commercial Geothermal,Buildings,commercial Geothermal
CHBPGMX100,COM,.PRE.,Com.Space Heat.BP.GAS.00.Furnace.,PJ,GW,PRE,CHBP,ANNUAL,"0,00",Commercial gas boiler,Buildings,Commercial gas boiler
CHBPGMX501,COM,.PRE.,Com Space Heat New Boiler - BP - GMX501,PJ,GW,PRE,CHBPGMX501_NRGO,ANNUAL,"0,00",Commercial gas boiler,Buildings,Commercial gas boiler
CHBPHET100,COM,.PRE.,Com.Space Heat.BP.LTH.00.Heat exchanger.,PJ,GW,PRE,CHBP,ANNUAL,"0,00",Commercial Heat Exchanger,District heating,Commercial Heat Exchanger
CHBPLPG100,COM,.PRE.,Com.Space Heat.BP.LPG.00.Furnace.,PJ,GW,PRE,CHBP,ANNUAL,"0,00",Commercial gas boiler,Buildings,Commercial gas boiler
CHBPLTH101,COM,.PRE.,Com Space Heat New Heat Exchanger - BP - HET101,PJ,GW,PRE,CHBPLTH101_NRGO,ANNUAL,"0,00",Commercial Heat Exchanger,District heating,Commercial Heat Exchanger
CHBPOIL100,COM,.PRE.,Com.Space Heat.BP.OIL.00.Furnace.,PJ,GW,PRE,CHBP,ANNUAL,"0,00",Commercial Oil boiler,Buildings,Commercial Oil boiler
CHBPPEL100,COM,.PRE.,Com.Space Heat.BP.BIOPEL.00.Stove.,PJ,GW,PRE,CHBP,ANNUAL,"0,00",Commercial Biomass boiler,Buildings,Commercial Biomass boiler
CHCOBGS100,COM,.PRE.,Com.Space Heat.CO.BGS.00.Furnace.,PJ,GW,PRE,CHCO,ANNUAL,"0,00",Commercial gas boiler,Buildings,Commercial gas boiler
CHCOCPS100,COM,.PRE.,Com.Space Heat.CO.BIOCPS.00.Stove.,PJ,GW,PRE,CHCO,ANNUAL,"0,00",Commercial Biomass boiler,Buildings,Commercial Biomass boiler
CHCOELC100,COM,.PRE.,Com.Space Heat.CO.ELC.00.Resistance.,PJ,GW,PRE,CHCO,ANNUAL,"0,00",Commercial electrical stove,Buildings,Commercial electrical stove
CHCOELC200,COM,.PRE.,Com.Space Heat.CO.ELC.00.Heat Pump.,PJ,GW,PRE,CHCO,ANNUAL,"0,00",Commercial Heat pump,Buildings,Commercial Heat pump
CHCOGEO100,COM,.PRE.,Com.Space Heat.CO.GEO.00.Furnace.,PJ,GW,PRE,CHCO,ANNUAL,"0,00",commercial Geothermal,Buildings,commercial Geothermal
CHCOGMX100,COM,.PRE.,Com.Space Heat.CO.GAS.00.Furnace.,PJ,GW,PRE,CHCO,ANNUAL,"0,00",Commercial gas boiler,Buildings,Commercial gas boiler
CHCOGMX501,COM,.PRE.,Com Space Heat New Boiler - CO - GMX501,PJ,GW,PRE,CHCOGMX501_NRGO,ANNUAL,"0,00",Commercial gas boiler,Buildings,Commercial gas boiler
CHCOHET100,COM,.PRE.,Com.Space Heat.CO.LTH.00.Heat exchanger.,PJ,GW,PRE,CHCO,ANNUAL,"0,00",Commercial Heat Exchanger,District heating,Commercial Heat Exchanger
CHCOLPG100,COM,.PRE.,Com.Space Heat.CO.LPG.00.Furnace.,PJ,GW,PRE,CHCO,ANNUAL,"0,00",Commercial gas boiler,Buildings,Commercial gas boiler
CHCOLTH101,COM,.PRE.,Com Space Heat New Heat Exchanger - CO - HET101,PJ,GW,PRE,CHCOLTH101_NRGO,ANNUAL,"0,00",Commercial Heat Exchanger,District heating,Commercial Heat Exchanger
CHCOOIL100,COM,.PRE.,Com.Space Heat.CO.OIL.00.Furnace.,PJ,GW,PRE,CHCO,ANNUAL,"0,00",Commercial Oil boiler,Buildings,Commercial Oil boiler
CHCOPEL100,COM,.PRE.,Com.Space Heat.CO.BIOPEL.00.Stove.,PJ,GW,PRE,CHCO,ANNUAL,"0,00",Commercial Biomass boiler,Buildings,Commercial Biomass boiler
CHCSBGS100,COM,.PRE.,Com.Space Heat.CS.BGS.00.Furnace.,PJ,GW,PRE,CHCS,ANNUAL,"0,00",Commercial gas boiler,Buildings,Commercial gas boiler
CHCSCPS100,COM,.PRE.,Com.Space Heat.CS.BIOCPS.00.Stove.,PJ,GW,PRE,CHCS,ANNUAL,"0,00",Commercial Biomass boiler,Buildings,Commercial Biomass boiler
CHCSELC100,COM,.PRE.,Com.Space Heat.CS.ELC.00.Resistance.,PJ,GW,PRE,CHCS,ANNUAL,"0,00",Commercial electrical stove,Buildings,Commercial electrical stove
CHCSELC200,COM,.PRE.,Com.Space Heat.CS.ELC.00.Heat Pump.,PJ,GW,PRE,CHCS,ANNUAL,"0,00",Commercial Heat pump,Buildings,Commercial Heat pump
CHCSGEO100,COM,.PRE.,Com.Space Heat.CS.GEO.00.Furnace.,PJ,GW,PRE,CHCS,ANNUAL,"0,00",commercial Geothermal,Buildings,commercial Geothermal
CHCSGMX100,COM,.PRE.,Com.Space Heat.CS.GAS.00.Furnace.,PJ,GW,PRE,CHCS,ANNUAL,"0,00",Commercial gas boiler,Buildings,Commercial gas boiler
CHCSGMX401,COM,.PRE.,Com Space Heat New Boiler - CS - GMX401,PJ,GW,PRE,CHCS,ANNUAL,"0,00",Commercial gas boiler,Buildings,Commercial gas boiler
CHCSHET100,COM,.PRE.,Com.Space Heat.CS.LTH.00.Heat exchanger.,PJ,GW,PRE,CHCS,ANNUAL,"0,00",Commercial Heat Exchanger,District heating,Commercial Heat Exchanger
CHCSLPG100,COM,.PRE.,Com.Space Heat.CS.LPG.00.Furnace.,PJ,GW,PRE,CHCS,ANNUAL,"0,00",Commercial gas boiler,Buildings,Commercial gas boiler
CHCSLTH101,COM,.PRE.,Com Space Heat New Heat Exchanger - CS - HET101,PJ,GW,PRE,CHCSLTH101_NRGO,ANNUAL,"0,00",Commercial Heat Exchanger,District heating,Commercial Heat Exchanger
CHCSOIL100,COM,.PRE.,Com.Space Heat.CS.OIL.00.Furnace.,PJ,GW,PRE,CHCS,ANNUAL,"0,00",Commercial Oil boiler,Buildings,Commercial Oil boiler
CHCSPEL100,COM,.PRE.,Com.Space Heat.CS.BIOPEL.00.Stove.,PJ,GW,PRE,CHCS,ANNUAL,"0,00",Commercial Biomass boiler,Buildings,Commercial Biomass boiler
CHENBGS100,COM,.PRE.,Com.Space Heat.EN.BGS.00.Furnace.,PJ,GW,PRE,CHEN,ANNUAL,"0,00",Commercial gas boiler,Buildings,Commercial gas boiler
CHENCPS100,COM,.PRE.,Com.Space Heat.EN.BIOCPS.00.Stove.,PJ,GW,PRE,CHEN,ANNUAL,"0,00",Commercial Biomass boiler,Buildings,Commercial Biomass boiler
CHENELC100,COM,.PRE.,Com.Space Heat.EN.ELC.00.Resistance.,PJ,GW,PRE,CHEN,ANNUAL,"0,00",Commercial electrical stove,Buildings,Commercial electrical stove
