Technology (Process),Sector,Set,Description,Activity unit,Capacity unit,Type,Primary commodity group,Time slice level,Vintage,Aggregation Level 2,sankey_overview,custom
CWSASOL100,COM,.PRE.,Com.Water Heat.SA.SOL.00.Furnace.,PJ,GW,PRE,CWSA,ANNUAL,"0,00",Commercial solar thermal,Buildings,Commercial solar thermal
CWSASOL101,COM,.PRE.,Com Water Heat New Boiler - SA - SOL101,PJ,GW,PRE,CWSA,ANNUAL,,Commercial solar thermal,Buildings,Commercial solar thermal
DIGEGAS100,SUP,.PRE.,Chaleur digesteur biogaz,PJ,GW,PRE,SUPHET,ANNUAL,"0,00",Heat from COM sector,Fuel conversion,Fuel conversion
DIGEOIL100,SUP,.PRE.,Chaleur digesteur mazout,PJ,GW,PRE,SUPHET,ANNUAL,"0,00",Heat from COM sector,Fuel conversion,Fuel conversion
DJ_2F_process,RSD,.DMD.,degree-days correction for the base year (2F),PJ,PJA,DMD,DJ2F,ANNUAL,"0,00",degree-days correction for the base year,Buildings,Residential buildings
DJ_3F_process,RSD,.DMD.,degree-days correction for the base year (3F),PJ,PJA,DMD,DJ3F,ANNUAL,"0,00",degree-days correction for the base year,Buildings,Residential buildings
DJ_4F_process,RSD,.DMD.,degree-days correction for the base year (4F),PJ,PJA,DMD,DJ4F,ANNUAL,"0,00",degree-days correction for the base year,Buildings,Residential buildings
DJ_AP_process,RSD,.DMD.,degree-days correction for the base year (AP),PJ,PJA,DMD,DJAP,ANNUAL,"0,00",degree-days correction for the base year,Buildings,Residential buildings
Dum_Retrofit,RSD,.IMP.IRE.,Dum_Retrofit,MM2,MM2-A,IRE,Dum_Retrofit_NRGO,ANNUAL,"0,00",Dum_Retrofit,Buildings,Building retrofits
Dum_Retrofit_Commercial,COM,.IMP.IRE.,Dum_Retrofit_Commercial,MM2,MM2-A,IRE,Dum_Retrofit_Commercial_NRGO,ANNUAL,"0,00",Dum_Retrofit_Commercial,Buildings,Building retrofits
ECHPP_CCGT-CHP_GAS_N,ELC,.CHP.,New Public - CCGT advanced CHP,PJ,GW,CHP,ECHPP_CCGT-CHP_GAS_N_NRGO,DAYNITE,"1,00",CHP,CHP,CHP
ECHPP_COM_BGS_E05,ELC,.CHP.,Existing thermal - CHP - Commercial - E05,PJ,GW,CHP,ECHPP_COM_BGS_E05_NRGO,DAYNITE,"0,00",CHP,CHP,CHP
ECHPP_COM_CPS_E01,ELC,.CHP.,Existing thermal - CHP - Commercial - E01,PJ,GW,CHP,ECHPP_COM_CPS_E01_NRGO,DAYNITE,"0,00",CHP,CHP,CHP
ECHPP_COM_GAS_E04,ELC,.CHP.,Existing thermal - CHP - Commercial - E04,PJ,GW,CHP,ECHPP_COM_GAS_E04_NRGO,DAYNITE,"0,00",CHP,CHP,CHP
ECHPP_COM_OIL_E06,ELC,.ELE.,Existing thermal - CHP - Commercial - E07,PJ,GW,ELE,ELCHIG,DAYNITE,"0,00",CHP,CHP,CHP
ECHPP_COM_PEL_E03,ELC,.CHP.,Existing thermal - CHP - Commercial - E03,PJ,GW,CHP,ECHPP_COM_PEL_E03_NRGO,DAYNITE,"0,00",CHP,CHP,CHP
ECHPP_MOT_BGS_E01,ELC,.CHP.,Existing Thermal Public - CHP - Moteur  - E01,PJ,GW,CHP,ECHPP_MOT_BGS_E01_NRGO,DAYNITE,"0,00",CHP,CHP,CHP
ECHPP_MOT_BIO_E02,ELC,.CHP.,Existing Thermal Public - CHP - Moteur  - E02,PJ,GW,CHP,ECHPP_MOT_BIO_E02_NRGO,DAYNITE,"0,00",CHP,CHP,CHP
ECHPP_MOT_GAS_E04,ELC,.CHP.,Existing Thermal Public - CHP - Moteur  - E04,PJ,GW,CHP,ECHPP_MOT_GAS_E04_NRGO,DAYNITE,"0,00",CHP,CHP,CHP
ECHPP_MOT_OIL_E03,ELC,.CHP.,Existing Thermal Public - CHP - Moteur  - E03,PJ,GW,CHP,ECHPP_MOT_OIL_E03_NRGO,DAYNITE,"0,00",CHP,CHP,CHP
ELCBGS00,ELC,.PRE.,Fuel Tech - BioGas (ELC),PJ,PJA,PRE,ELCBGS,ANNUAL,"0,00",Fuel Tech - Natural Gas biogas mixed,Fuel conversion,Fuel tech · methane
ELCBIO00,ELC,.PRE.,Fuel Tech - Biomass (ELC),PJ,PJA,PRE,ELCBIO,ANNUAL,"0,00",Fuel Tech - Biomass (ELC),Fuel conversion,Fuel tech · solid biomass
ELCCPS00,ELC,.PRE.,Fuel Tech - Wood Chips (ELC),PJ,PJA,PRE,ELCCPS,ANNUAL,"0,00",Fuel Tech - Wood Chips,Fuel conversion,Fuel tech · solid biomass
ELCGAS00,ELC,.PRE.,Fuel Tech - Natural Gas (ELC),PJ,PJA,PRE,ELCGAS,ANNUAL,"0,00",Fuel Tech - Natural Gas,Fuel conversion,Fuel tech · methane
ELCHYD00,ELC,.PRE.,Fuel Tech - Hydro (ELC),PJ,PJA,PRE,ELCHYD,ANNUAL,"0,00",Fuel Tech - Hydro,Fuel conversion,Fuel tech · hydro
ELCNUC00,ELC,.PRE.,Fuel Tech - Nuclear (ELC),PJ,PJA,PRE,ELCNUC,ANNUAL,"0,00",Fuel Tech - Nuclear,Fuel conversion,Fuel tech · nuclear
ELCOIL00,ELC,.PRE.,Fuel Tech - Oil (ELC),PJ,PJA,PRE,ELCOIL,ANNUAL,"0,00",Oil,Fuel conversion,Fuel tech · oil
ELCPEL00,ELC,.PRE.,Fuel Tech - Wood Pellets (ELC),PJ,PJA,PRE,ELCPEL,ANNUAL,"0,00",Fuel Tech - Wood Pellets,Fuel conversion,Fuel tech · solid biomass
ELCSLU00,ELC,.PRE.,Fuel Tech - Wastes Renewable (ELC),PJ,PJA,PRE,ELCSLU,ANNUAL,"0,00",Fuel Tech - Wastes Renewable,Fuel conversion,Fuel tech · solid biomass
ELCSOL00,ELC,.PRE.,Fuel Tech - Solar (ELC),PJ,PJA,PRE,ELCSOL,ANNUAL,"0,00",Solar,Power plants,PV
ELCWIN00,ELC,.PRE.,Fuel Tech - Wind (ELC),PJ,PJA,PRE,ELCWIN,ANNUAL,"0,00",Fuel Tech - Wind,Power plants,Onshore wind
ELCWST00,ELC,.PRE.,Fuel Tech - Wastes Non-Renewable (ELC),PJ,PJA,PRE,ELCWST,ANNUAL,"0,00",Fuel Tech - Wastes Non-Renewable,Fuel conversion,Fuel tech · solid biomass
ENUC_Thiange,ELC,.ELE.,Existing Nuclear Power Plant - 859,PJ,GW,ELE,ELCHIG,DAYNITE,"0,00",ENUC_Thiange,Power plants,Power plants
ERNW_Eolien_Big_E1,ELC,.ELE.,Wind Turbine >2000kW,PJ,GW,ELE,ELCHIG,DAYNITE,"0,00",Wind Turbine,Power plants,Onshore wind
ERNW_Eolien_Medium_E3,ELC,.ELE.,Wind Turbine >100 et <=2000 kW,PJ,GW,ELE,ELCHIG,DAYNITE,"0,00",Wind Turbine,Power plants,Onshore wind
ERNW_Eolien_Small_E4,ELC,.ELE.,Wind Turbine <=100 kW,PJ,GW,ELE,ELCHIG,DAYNITE,"0,00",Wind Turbine,Power plants,Onshore wind
ERNW_HYD_HYD_N,ELC,.ELE.,New Public - Hydro new 300 kW,PJ,GW,ELE,ELCHIG,DAYNITE,"1,00",Hydro turbine,Power plants,Power plants
ERNW_Hydro_Big_E5,ELC,.ELE.,Hydro run of river >10000 kW,PJ,GW,ELE,ELCHIG,ANNUAL,"0,00",Hydro turbine,Power plants,Power plants
ERNW_Hydro_Medium_E6,ELC,.ELE.,Hydro run of river >1000 et <=10000 kW,PJ,GW,ELE,ELCHIG,ANNUAL,"0,00",Hydro turbine,Power plants,Power plants
ERNW_Hydro_Pompage_E8,ELC,.ELE.STGTSS.,Hydro pump storage,PJ,GW,ELE,ELCHIG,DAYNITE,"0,00",Pumped hydro,Power plants,Pumped hydro
ERNW_Hydro_Small_E7,ELC,.ELE.,Hydro run of river <=1000 kW,PJ,GW,ELE,ELCHIG,ANNUAL,"0,00",Hydro turbine,Power plants,Power plants
ERNW_PV-Buildings_SOL_N,ELC,.ELE.,New Public - Solar PV Buildings 100 kW (10-500 KW TERT RES AGRI PKGS),PJ,GW,ELE,ERNW_PV-Buildings_SOL_N_NRGO,DAYNITE,"1,00",Power plants,Power plants,PV
ERNW_PV-GreenField_SOL_N,ELC,.ELE.,New Public - Solar PV Greenfield 10 MW ( 1-30 MW),PJ,GW,ELE,ERNW_PV-GreenField_SOL_N_NRGO,DAYNITE,"1,00",Power plants,Power plants,PV
ERNW_PV-Large_Roof_SOL_N,ELC,.ELE.,New Public - Solar PV Large Roofs  1 MW (1-5 MW  IND CCIAL LOGIST PKGS),PJ,GW,ELE,ERNW_PV-Large_Roof_SOL_N_NRGO,DAYNITE,"1,00",Power plants,Power plants,PV
ERNW_WINON_WIN_N,ELC,.ELE.,New Public - Wind Onshore Large,PJ,GW,ELE,ELCHIG,DAYNITE,"1,00",Renewables,Power plants,Onshore wind
ETSTP_CCGT-CCS_PostC_GAS_N,ELC,.ELE.,New Thermal Public - CCGT advanced CCS post combustion,PJ,GW,ELE,ELCHIG,DAYNITE,"1,00",Gas power plants,Power plants,Power plants
ETSTP_CCGT_GAS_N,ELC,.ELE.,New Thermal Public - Combined Cycle Gas Turbine advanced.,PJ,GW,ELE,ELCHIG,DAYNITE,"1,00",Gas power plants,Power plants,Power plants
ETSTP_MOT_BGS_E09,ELC,.ELE.,Existing Thermal Public - Pure ELC - Moteur  - E09,PJ,GW,ELE,ELCHIG,DAYNITE,"0,00",Gas power plants,Power plants,Power plants
ETSTP_TAG_GAS_E06,ELC,.ELE.,Existing Thermal Public - Pure ELC - Turbine à natural gaz   - E06,PJ,GW,ELE,ELCHIG,DAYNITE,"0,00",Gas power plants,Power plants,Power plants
ETSTP_TGV_GAS_E01,ELC,.ELE.,Existing Thermal Public - Pure ELC - Turbine gaz à vapeur - E01,PJ,GW,ELE,ELCHIG,DAYNITE,"0,00",Gas power plants,Power plants,Power plants
ETSTP_TGV_GAS_E02,ELC,.ELE.,Existing Thermal Public - Pure ELC - Turbine gaz à vapeur - E02,PJ,GW,ELE,ELCHIG,DAYNITE,"0,00",Gas power plants,Power plants,Power plants
ETSTP_TGV_GAS_E03,ELC,.ELE.,Existing Thermal Public - Pure ELC - Turbine gaz à vapeur - E03,PJ,GW,ELE,ELCHIG,DAYNITE,"0,00",Gas power plants,Power plants,Power plants
ETSTP_TGV_GAS_E04,ELC,.ELE.,Existing Thermal Public - Pure ELC - Turbine gaz à vapeur - E04,PJ,GW,ELE,ELCHIG,DAYNITE,"0,00",Gas power plants,Power plants,Power plants
ETSTP_TVC_WST_E11,ELC,.CHP.,Existing Thermal Public - Pure ELC - Turbine vapeur à condensation - E11,PJ,GW,CHP,ETSTP_TVC_WST_E11_NRGO,DAYNITE,"0,00",CHP,CHP,CHP
EVTRANS_H-H,ELC,.PRE.,Grid High Voltage,PJ,GW,PRE,ELCHIGG,DAYNITE,"0,00",EVTRANS_H-H,Power plants,Power plants
EVTRANS_H-M,ELC,.PRE.,Grid medium Voltage and Voltage Transformer: High to Medium,PJ,GW,PRE,ELCMED,DAYNITE,"0,00",EVTRANS_H-M,Power plants,Power plants
EVTRANS_M-L,ELC,.PRE.,Grid low Voltage and Voltage Transformer: Medium to Low,PJ,GW,PRE,ELCLOW,DAYNITE,"0,00",EVTRANS_M-L,Power plants,Power plants
EXPBIOLOG,SUP,.EXP.IRE.,Export Wood Logs,PJ,-,IRE,BIOLOG,ANNUAL,"0,00",Export biomass,Exports,Exports
EXPBIOPEL,SUP,.EXP.IRE.,Export Wood Pellets,PJ,-,IRE,BIOPEL,ANNUAL,"0,00",Export biomass,Exports,Exports
EXPELCHIG,ELC,.EXP.IRE.,Electricity export (All),PJ,-,IRE,ELCHIG,DAYNITE,"0,00",Electricity export (All),Exports,Exports
IAMADVPRO10,IND,.DMD.,IAM.Advanced Production.10.,MT,MT,DMD,IAM,ANNUAL,"1,00",IND_DMD_MT_MT,Industry,Industry (other)
IAMSTDPRO00,IND,.DMD.,IAM.Standard Production.00.,MT,MTA,DMD,IAM,ANNUAL,"0,00",IND_DMD_MT_MTA,Industry,Industry (other)
IAMSTDPRO01,IND,.DMD.,IAM.Standard Production.01,MT,MT,DMD,IAMSTDPRO01_DEMO,ANNUAL,"1,00",IND_DMD_MT_MT,Industry,Industry (other)
IBKSTDPRO00,IND,.DMD.,IBK.bricks.production.standard,PJ,PJA,DMD,IBK,ANNUAL,"0,00",Industry,Industry,Industry
IBKSTDPRO01,IND,.DMD.,IBK.bricks.production.standard.01,MT,MT,DMD,IBK,ANNUAL,"1,00",IND_DMD_MT_MT,Industry,Industry (other)
IBOBIOPEL00,IND,.PRE.,IBO.production.wood.pellets.00,PJ,PJA,PRE,BIOPEL,ANNUAL,"0,00",Industry,Industry,Industry
IBOBIOPEL01,IND,.PRE.,IBE.production.wood.pellets.01,PJ,PJA,PRE,BIOPEL,ANNUAL,"1,00",Industry,Industry,Industry
IBOHTHSTMCPS01,IND,.PRE.,IBO.wood.Process Heat.CPS.01,PJ,GW,PRE,IBOHTH,ANNUAL,"1,00",Industry,Industry,Industry
IBOPROD00,IND,.DMD.,IBO.Production.Wood.products.00,PJ,PJA,DMD,IBO,ANNUAL,"0,00",Industry,Industry,Industry
IBOPROD01,IND,.DMD.,IBO.Production.Wood.products.01,MM3,MM3,DMD,IBO,ANNUAL,"1,00",IND_DMD_MM3_MM3,Industry,Industry (other)
IBOSTMGAS00,IND,.PRE.,IBO.Generic Boiler.GAS,PJ,PJA,PRE,IBOHTH,ANNUAL,"0,00",Industry,Industry,Industry
IBOSTMOIL00,IND,.PRE.,IBO.Generic Boiler.OIL,PJ,PJA,PRE,IBOHTH,ANNUAL,"0,00",Industry,Industry,Industry
IBOSTMSOLID00,IND,.PRE.,IBO.Generic Boiler.Solids,PJ,PJA,PRE,IBOHTH,ANNUAL,"0,00",Industry,Industry,Industry
ICESTDPRO00,IND,.DMD.,ICE.Ceramics.production.standard,PJ,PJA,DMD,ICE,ANNUAL,"0,00",Industry,Industry,Industry
ICESTDPRO01,IND,.DMD.,ICE.Ceramics.production.standard.01,MT,MT,DMD,ICE,ANNUAL,"1,00",IND_DMD_MT_MT,Industry,Industry (other)
ICHDEMAND00,IND,.DMD.,ICH.Other Chemicals.00.,PJ,PJA,DMD,ICH,ANNUAL,"0,00",Industry,Industry,Industry
ICHELEELC00,IND,.PRE.,ICH.Other Chemicals.Electro-Chemical Processes.ELC.00,PJ,PJA,PRE,ICHELE,ANNUAL,"0,00",Industry,Industry,Industry
ICHELEELC01,IND,.PRE.,ICHELEELC01,PJ,PJA,PRE,ICHELE,ANNUAL,"1,00",Industry,Industry,Industry
ICHMCHELC00,IND,.PRE.,ICH.Other Chemicals.Machine Drive.ELC.00,PJ,PJA,PRE,ICHMCH,ANNUAL,"0,00",Industry,Industry,Industry
ICHMCHELC01,IND,.PRE.,ICHMCHELC01,PJ,PJA,PRE,ICHMCH,ANNUAL,"1,00",Industry,Industry,Industry
ICHOTH-NRG,IND,.PRE.,ICH: Other energy uses,PJ,PJA,PRE,ICHOTH,ANNUAL,"0,00",Industry,Industry,Industry
ICHPACELC01,IND,.PRE.,Heat pump,PJ,GW,PRE,ICHHTH,ANNUAL,"1,00",Industry,Industry,Industry
ICHPRCCOA00,IND,.PRE.,ICH.Other Chemicals.Process Heat.COA.00,PJ,PJA,PRE,ICHPRC,ANNUAL,"0,00",Industry,Industry,Industry
ICHPRCCOA01,IND,.PRE.,ICHPRCCOA01,PJ,GW,PRE,ICHPRC,ANNUAL,"1,00",Industry,Industry,Industry
ICHPRCCOK01,IND,.PRE.,ICHPRCCOK01,PJ,GW,PRE,ICHPRC,ANNUAL,"1,00",Industry,Industry,Industry
ICHPRCCPS00,IND,.PRE.,ICH.Other Chemicals.Process Heat.CPS.00,PJ,PJA,PRE,ICHPRC,ANNUAL,"0,00",Industry,Industry,Industry
ICHPRCCPS01,IND,.PRE.,ICHPRCCPS01,PJ,GW,PRE,ICHPRC,ANNUAL,"1,00",Industry,Industry,Industry
ICHPRCGAS00,IND,.PRE.,ICH.Other Chemicals.Process Heat.GAS.00,PJ,PJA,PRE,ICHPRC,ANNUAL,"0,00",Industry,Industry,Industry
ICHPRCHFO00,IND,.PRE.,ICH.Other Chemicals.Process Heat.HFO.00,PJ,PJA,PRE,ICHPRC,ANNUAL,"0,00",Industry,Industry,Industry
ICHSTMBGS01,IND,.PRE.,ICHSTMBGS01,PJ,GW,PRE,ICHHTH,ANNUAL,"1,00",Industry,Industry,Industry
ICHSTMCOA00,IND,.PRE.,ICH.Other Chemicals.Steam.COA.00,PJ,GW,PRE,ICHHTH,ANNUAL,"0,00",Industry,Industry,Industry
ICHSTMCPS00,IND,.PRE.,ICH.Other Chemicals.Steam.CPS.00,PJ,GW,PRE,ICHHTH,ANNUAL,"0,00",Industry,Industry,Industry
ICHSTMCPS01,IND,.PRE.,ICHSTMCPS01,PJ,GW,PRE,ICHHTH,ANNUAL,"1,00",Industry,Industry,Industry
ICHSTMELC01,IND,.PRE.,ICHSTMELC01,PJ,GW,PRE,ICHHTH,ANNUAL,"1,00",Industry,Industry,Industry
ICHSTMGAS00,IND,.PRE.,ICH.Other Chemicals.Steam.GAS.01,PJ,GW,PRE,ICHHTH,ANNUAL,"0,00",Industry,Industry,Industry
ICHSTMGMX00,IND,.PRE.,ICH.Other Chemicals.Steam.GAS.00,PJ,GW,PRE,ICHHTH,ANNUAL,"0,00",Industry,Industry,Industry
ICHSTMHET00,IND,.PRE.,ICH.Other Chemicals.Steam.HET.00,PJ,GW,PRE,ICHHTH,ANNUAL,"0,00",Industry,Industry,Industry
ICHSTMHET01,IND,.PRE.,ICHSTMHET01,PJ,GW,PRE,ICHHTH,ANNUAL,"1,00",Industry,Industry,Industry
ICHSTMHFO00,IND,.PRE.,ICH.Other Chemicals.Steam.HFO.00,PJ,GW,PRE,ICHHTH,ANNUAL,"0,00",Industry,Industry,Industry
ICHSTMLFO00,IND,.PRE.,ICH.Other Chemicals.Steam.LFO.00,PJ,GW,PRE,ICHHTH,ANNUAL,"0,00",Industry,Industry,Industry
ICHSTMLPG00,IND,.PRE.,ICH.Other Chemicals.Steam.LPG.00,PJ,GW,PRE,ICHHTH,ANNUAL,"0,00",Industry,Industry,Industry
ICMDRYPRD00,IND,.PRE.,ICM.Dry Process Production.00.,MT,MTA,PRE,MCMCLK,ANNUAL,"0,00",IND_PRE_MT_MTA,Industry,Industry (other)
ICMDRYPRD10,IND,.PRE.,ICM.Dry Process Production.01,MT,MT,PRE,MCMCLK,ANNUAL,"1,00",IND_PRE_MT_MT,Industry,Industry (other)
ICMFINPRO00,IND,.DMD.,ICM.Finishing Processes.00.,MT,MTA,DMD,ICM,ANNUAL,"0,00",IND_DMD_MT_MTA,Industry,Industry (other)
ICMFINPRO01,IND,.DMD.,ICM.Finishing Processes.01,MT,MT,DMD,ICM,ANNUAL,"1,00",IND_DMD_MT_MT,Industry,Industry (other)
ICMPRC20,IND,.PRE.,ICM.Dry Process Production oxycomb.01,MT,MT,PRE,MCMCLK,ANNUAL,"1,00",IND_PRE_MT_MT,Industry,Industry (other)
ICMPRC21,IND,.PRE.,ICM.Dry Process Production oxycomb.02,MT,MT,PRE,MCMCLK,ANNUAL,"1,00",IND_PRE_MT_MT,Industry,Industry (other)
ICMPRCCOA00,IND,.PRE.,ICM.Generic fuel kiln.COA,PJ,PJA,PRE,ICMPRC,ANNUAL,"0,00",Industry,Industry,Industry
ICMPRCCOK00,IND,.PRE.,ICM.Generic fuel kiln.COL,PJ,PJA,PRE,ICMPRC,ANNUAL,"0,00",Industry,Industry,Industry
ICMPRCCOL00,IND,.PRE.,ICM.Generic fuel kiln.COL,PJ,PJA,PRE,ICMPRC,ANNUAL,"0,00",Industry,Industry,Industry
ICMPRCGAS00,IND,.PRE.,ICM.Generic fuel kiln.GAS,PJ,PJA,PRE,ICMPRC,ANNUAL,"0,00",Industry,Industry,Industry
ICMPRCHFO00,IND,.PRE.,ICM.Generic fuel kiln.HFO,PJ,PJA,PRE,ICMPRC,ANNUAL,"0,00",Industry,Industry,Industry
ICMPRCSLU00,IND,.PRE.,ICM.Generic fuel kiln.SLU,PJ,PJA,PRE,ICMPRC,ANNUAL,"0,00",Industry,Industry,Industry
ICMPRDCC_02,IND,.PRE.,ICM. LEILAC.02,MT,MT,PRE,ICM,ANNUAL,"1,00",IND_PRE_MT_MT,Industry,Industry (other)
ICMWETPRD00,IND,.PRE.,ICM.Wet Process Production.00.,MT,MTA,PRE,MCMCLK,ANNUAL,"0,00",IND_PRE_MT_MTA,Industry,Industry (other)
IGFFLATGL00,IND,.DMD.,IGF.Glass Flat.00.,MT,MTA,DMD,IGF,ANNUAL,"0,00",IND_DMD_MT_MTA,Industry,Industry (other)
IGFFLATGL01,IND,.DMD.,IGF.glass production.01,MT,MT,DMD,IGF,ANNUAL,"1,00",IND_DMD_MT_MT,Industry,Industry (other)
IGFFLATOXYCC01,IND,.DMD.,IGF.glass production.03,MT,MT,DMD,IGF,ANNUAL,"1,00",IND_DMD_MT_MT,Industry,Industry (other)
IGHHOLLOW00,IND,.DMD.,IGH.Glass Hollow.00.,MT,MTA,DMD,IGH,ANNUAL,"0,00",IND_DMD_MT_MTA,Industry,Industry (other)
IGHHOLLOW01,IND,.DMD.,IGH.glass production.01,MT,MT,DMD,IGH,ANNUAL,"1,00",IND_DMD_MT_MT,Industry,Industry (other)
IGHHOLLOWOXYCC01,IND,.DMD.,IGH.glass production.03,MT,MT,DMD,IGH,ANNUAL,"1,00",IND_DMD_MT_MT,Industry,Industry (other)
IGHOTOCC01,IND,.DMD.,IGO.fiberglassproduction.03,MT,MT,DMD,IGO,ANNUAL,"1,00",IND_DMD_MT_MT,Industry,Industry (other)
IGHOTSTD01,IND,.DMD.,IGO.fiberglassproduction.01,MT,MT,DMD,IGO,ANNUAL,"1,00",IND_DMD_MT_MT,Industry,Industry (other)
IGHRECYCL00,IND,.DMD.,IGO.Glass Recycling.00.,MT,MTA,DMD,IGO,ANNUAL,"0,00",IND_DMD_MT_MTA,Industry,Industry (other)
IISBLAFURTGR,IND,.PRE.,IIS.Iron Oxygen Blast Furnace Top GMX Recirculation.10.,MT,MT,PRE,MISRIR,ANNUAL,"1,00",IND_PRE_MT_MT,Industry,Industry (other)
IISBOXSCR01,IND,.PRE.,IIS.Blast Oxygen Furnace BOF.Scrap.01,MT,MT,PRE,MISCST,ANNUAL,"1,00",IND_PRE_MT_MT,Industry,Industry (other)
IISDRIEAF01,IND,.PRE.,IIS.Electric Arc Furnace for DRI.01,MT,MT,PRE,MISCST,ANNUAL,"1,00",IND_PRE_MT_MT,Industry,Industry (other)
IISDRISPN01,IND,.PRE.,IIS.Iron Sponge Iron for DRI.01,MT,MT,PRE,MISDIR,ANNUAL,"1,00",IND_PRE_MT_MT,Industry,Industry (other)
IISELAFUR00,IND,.PRE.,IIS.Electric Arc Furnace.00.,MT,MTA,PRE,MISCST,ANNUAL,"0,00",IND_PRE_MT_MTA,Industry,Industry (other)
IISELAFUR01,IND,.PRE.,IIS.Electric Arc Furnace.01,MT,MT,PRE,MISCST,ANNUAL,"1,00",IND_PRE_MT_MT,Industry,Industry (other)
IISFINPRO00,IND,.DMD.,IIS.Finishing Processes.00.,MT,MTA,DMD,IIS,ANNUAL,"0,00",IND_DMD_MT_MTA,Industry,Industry (other)
IISFINPRO02,IND,.DMD.,IISFINPRO02,MT,MT,DMD,IIS,ANNUAL,"1,00",IND_DMD_MT_MT,Industry,Industry (other)
IISPELLET01,IND,.PRE.,IIS.Pellet Production.01,MT,MT,PRE,MISPLT,ANNUAL,"1,00",IND_PRE_MT_MT,Industry,Industry (other)
IISSINTER01,IND,.PRE.,IIS.Sinter Production.01,MT,MT,PRE,MISSNT,ANNUAL,"1,00",IND_PRE_MT_MT,Industry,Industry (other)
IISSTMGAS00,IND,.PRE.,IIS.Generic Boiler.GAS,PJ,GW,PRE,IISHTH,ANNUAL,"0,00",Industry,Industry,Industry
IISSTMGMX01,IND,.PRE.,IIS. Iron and Steel.Heat.GMX.01,PJ,GW,PRE,IISHTH,ANNUAL,"1,00",Industry,Industry,Industry
ILMPRCCOA00,IND,.PRE.,ILM.Generic fuel kiln.COA,PJ,PJA,PRE,ILMPRC,ANNUAL,"0,00",Industry,Industry,Industry
ILMPRCCOK00,IND,.PRE.,ILM.Generic fuel kiln.COK,PJ,PJA,PRE,ILMPRC,ANNUAL,"0,00",Industry,Industry,Industry
ILMPRCCOL00,IND,.PRE.,ILM.Generic fuel kiln.COL,PJ,PJA,PRE,ILMPRC,ANNUAL,"0,00",Industry,Industry,Industry
ILMPRCGAS00,IND,.PRE.,ILM.Generic fuel kiln.GAS,PJ,PJA,PRE,ILMPRC,ANNUAL,"0,00",Industry,Industry,Industry
ILMPRCLFO00,IND,.PRE.,ILM.Generic fuel kiln.LFO,PJ,PJA,PRE,ILMPRC,ANNUAL,"0,00",Industry,Industry,Industry
ILMPRCLPG00,IND,.PRE.,ILM.Generic fuel kiln.LPG,PJ,PJA,PRE,ILMPRC,ANNUAL,"0,00",Industry,Industry,Industry
ILMPRCSLU00,IND,.PRE.,ILM.Generic fuel kiln.SLU,PJ,PJA,PRE,ILMPRC,ANNUAL,"0,00",Industry,Industry,Industry
ILMQLMPRCC02,IND,.DMD.,ILM.Quick Lime Production.02.improv,MT,MT,DMD,ILM,ANNUAL,"1,00",IND_DMD_MT_MT,Industry,Industry (other)
ILMQLMPRO00,IND,.DMD.,ILM.Quick Lime Production.00.,MT,MTA,DMD,ILM,ANNUAL,"0,00",IND_DMD_MT_MTA,Industry,Industry (other)
ILMQLMPRO01,IND,.DMD.,ILM.Quick Lime Production.11,MT,MT,DMD,ILM,ANNUAL,"1,00",IND_DMD_MT_MT,Industry,Industry (other)
IMLEVA00,IND,.DMD.,IML.Evaporation and Powder.00,PJ,PJA,DMD,IML,ANNUAL,"0,00",Industry,Industry,Industry
IMLEVA03,IND,.DMD.,IML.evaporation.milk.03,MT,MT,DMD,IML,ANNUAL,"1,00",IND_DMD_MT_MT,Industry,Industry (other)
IMLHTHSTMCPS01,IND,.PRE.,IML.Preparation.of.milk.Process Heat.CPS.01,PJ,GW,PRE,IMLHTH,ANNUAL,"1,00",Industry,Industry,Industry
IMLSTMGAS00,IND,.PRE.,IML.Generic Boiler.GAS,PJ,PJA,PRE,IMLHTH,ANNUAL,"0,00",Industry,Industry,Industry
IMLSTMOIL00,IND,.PRE.,IML.Generic Boiler.OIL,PJ,PJA,PRE,IMLHTH,ANNUAL,"0,00",Industry,Industry,Industry
IMPBIOCPS,SUP,.IMP.IRE.,Import Wood Chips,PJ,-,IRE,BIOCPS,ANNUAL,"0,00",Imports,Imports & trade,Imports & trade
IMPBIODST,SUP,.IMP.IRE.,Import biodiesel,PJ,-,IRE,BIODST,ANNUAL,"0,00",Imports,Imports & trade,Imports & trade
IMPBIOEFF,SUP,.IMP.IRE.,Import Effluents,MT,-,IRE,BIOEFF,ANNUAL,"0,00",Imports,Imports & trade,Imports & trade
IMPBIOETH,SUP,.IMP.IRE.,Import ethanol,PJ,-,IRE,BIOETH,ANNUAL,"0,00",Imports,Imports & trade,Imports & trade
IMPBIOLOG,SUP,.IMP.IRE.,Import Wood Logs,PJ,-,IRE,BIOLOG,ANNUAL,"0,00",Imports,Imports & trade,Imports & trade
IMPBIORME,SUP,.IMP.IRE.,Import biodiesel RME,PJ,-,IRE,BIORME,ANNUAL,"0,00",Imports,Imports & trade,Imports & trade
IMPCOACOK,SUP,.IMP.IRE.,Import Coke,PJ,-,IRE,COACOK,ANNUAL,"0,00",Imports,Imports & trade,Imports & trade
